section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),readonly (10),meeting (2),meeting (3),meeting (4),meeting (5),status-full,status-waitlist,readonly (11),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (20),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),ui-pillbox-summary (4),ui-state-default (22),ui-state-default (23),ui-state-default (24),ui-state-default (25),ui-state-default (26),ui-state-default (27),ui-state-default (28),meeting (16),meeting (17),meeting (18),meeting (19),meeting (20),tooltip-row (31),tooltip-row (32),tooltip-row (33),tooltip-row (34),tooltip-row (35),tooltip-row (36),tooltip-row (37),tooltip-row (38),tooltip-row (39),tooltip-row (40),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (33),ui-state-default (34),tooltip-row (47),tooltip-row (49),ui-state-default (36),ui-state-default (37),ui-state-default (38),ui-state-default (39),ui-state-default (41),ui-state-default (42),tooltip-row (53),tooltip-row (55),tooltip-row (57),tooltip-row (59),status-bold (3),readonly (12)
Dissecting Financial Statements,Lecture,Accounting - CPS,6220,01,3,81362,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: Virtual Space- Online class,Building:,Room: ROOM,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"26 of 30 seats remain.
5 of 5 waitlist seats remain.",26,5,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Analytics,Lecture,Analytics - CPS,6000,01,3,80214,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"11 of 30 seats remain.
10 of 10 waitlist seats remain.",11,10,CPS-Professional Programs GR 2,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Analytics,Lecture,Analytics - CPS,6000,02,3,80243,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 070,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,,FULL,9,CPS-Professional Programs GR 2,CPS Digital Badge,05,50,08,30,FULL: 0 of 30 seats remain.,9 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Analytics,Lecture,Analytics - CPS,6000,08,3,80287,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 229,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"24 of 30 seats remain.
10 of 10 waitlist seats remain.",24,10,CPS-Professional Programs GR 2,CPS Digital Badge,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Analytics,Lecture,Analytics - CPS,6000,11,3,80303,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 302,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"2 of 30 seats remain.
10 of 10 waitlist seats remain.",2,10,CPS-Professional Programs GR 2,CPS Digital Badge,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Analytics,Lecture,Analytics - CPS,6000,24,3,80627,Monday,S,T,W,T,F,S,M,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 218,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Portland, Maine","2 of 30 seats remain.
10 of 10 waitlist seats remain.",2,10,Roux Institute,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Analytics,Lecture,Analytics - CPS,6000,25,3,81227,Monday,S,T,W,T,F,S,M,06:00 PM - 08:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 603,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Toronto, Canada","13 of 30 seats remain.
6 of 6 waitlist seats remain.",13,6,CPS-Professional Programs GR 2,CPS Digital Badge,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,01,3,80215,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,05,3,80304,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 205,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"8 of 24 seats remain.
10 of 10 waitlist seats remain.",8,10,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,08,3,80295,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 221,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"3 of 24 seats remain.
10 of 10 waitlist seats remain.",3,10,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
