section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (10),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-state-default (16),tooltip-row (27),tooltip-row (29),tooltip-row (37),tooltip-row (39),ui-pillbox-summary (5),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (32),ui-state-default (33),ui-state-default (34),meeting (21),meeting (22),meeting (23),meeting (24),meeting (25),tooltip-row (41),tooltip-row (42),tooltip-row (43),tooltip-row (44),tooltip-row (45),tooltip-row (46),tooltip-row (47),tooltip-row (48),tooltip-row (49),tooltip-row (50),tooltip-row (57),tooltip-row (59),ui-pillbox-summary (7),ui-state-default (43),ui-state-default (44),ui-state-default (45),ui-state-default (46),ui-state-default (47),ui-state-default (48),meeting (31),meeting (32),meeting (33),meeting (34),meeting (35),tooltip-row (61),tooltip-row (62),tooltip-row (63),tooltip-row (64),tooltip-row (65),tooltip-row (66),tooltip-row (67),tooltip-row (68),tooltip-row (69),tooltip-row (70),ui-pillbox-summary (8),ui-state-default (50),ui-state-default (51),ui-state-default (52),ui-state-default (53),ui-state-default (54),ui-state-default (55),meeting (36),meeting (37),meeting (38),meeting (39),meeting (40),tooltip-row (71),tooltip-row (72),tooltip-row (73),tooltip-row (74),tooltip-row (75),tooltip-row (76),tooltip-row (77),tooltip-row (78),tooltip-row (79),tooltip-row (80),readonly (11),readonly (12),status-full,status-waitlist
Financial Accounting,Lecture,Accounting - CPS,2100,01,3,40001,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"3 of 30 seats remain.
10 of 10 waitlist seats remain.",3,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting,Lecture,Accounting - CPS,2100,03,3,40096,Wednesday,M,T,T,F,S,W,05:50 PM - 08:20 PM,Building: 89 Broad Street,Room: 215,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"4 of 24 seats remain.
10 of 10 waitlist seats remain.",4,10,CPS-Programs-UG,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Accounting,Lecture,Accounting - CPS,2200,02,3,40080,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"4 of 30 seats remain.
10 of 10 waitlist seats remain.",4,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managerial Accounting,Lecture,Accounting - CPS,2200,04,3,40104,Thursday,M,T,W,F,S,T,05:50 PM - 08:20 PM,Building: 89 Broad Street,Room: 211,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"14 of 30 seats remain.
10 of 10 waitlist seats remain.",14,10,CPS-Programs-UG,05,50,08,20,XN Experiential Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Accounting,Lecture,Accounting - CPS,2300,01,3,40266,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,16 of 30 seats remain.,16,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Accounting,Lecture,Accounting - CPS,2300,02,3,40267,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: Ryder Hall,Room: 128,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,8 of 24 seats remain.,8,,CPS-Programs-UG,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting and Analysis 1,Lecture,Accounting - CPS,3201,01,3,40004,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"19 of 30 seats remain.
10 of 10 waitlist seats remain.",19,10,CPS-Programs-UG,,,,,XN Experiential Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting and Analysis 1,Lecture,Accounting - CPS,3201,02,3,40173,Tuesday,M,W,T,F,S,T,11:15 AM - 01:45 PM,Building: 89 Broad Street,Room: 237,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"21 of 30 seats remain.
10 of 10 waitlist seats remain.",21,10,CPS-Programs-UG,11,15,01,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting and Analysis 2,Lecture,Accounting - CPS,3202,02,3,40081,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"18 of 30 seats remain.
10 of 10 waitlist seats remain.",18,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting and Analysis 2,Lecture,Accounting - CPS,3202,03,3,40095,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: Ryder Hall,Room: 460,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"18 of 25 seats remain.
10 of 10 waitlist seats remain.",18,10,CPS-Programs-UG,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
