section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,meeting (2),meeting (3),meeting (4),meeting (5),tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),readonly (7),readonly (8),status-bold,readonly (9),readonly (10),readonly (11),status-full,status-waitlist,status-bold (2)
Constitutional Law,Lecture,Law,6101,01,4,70001,"Monday,Wednesday",S,M,T,W,T,F,S,11:10 AM - 12:25 PM,11,10,12,25,Building: Dockser Hall,Room: 220,Start Date: 01/06/2025,End Date: 04/11/2025,Thursday,S,M,T,W,T,F,S,11:30 AM - 12:45 PM,11,30,12,45,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 250,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/11/2025,End Date:,Boston,2 of 76 seats remain.,2,Law Billing,NUpath Societies/Institutions,Cargill Hall Law Door Access,,,
Constitutional Law,Lecture,Law,6101,02,4,70002,"Tuesday,Thursday",S,T,M,T,W,F,S,09:35 AM - 10:50 AM,09,35,10,50,Building: Dockser Hall,Room: 240,Start Date: 01/06/2025,End Date: 04/11/2025,Friday,S,M,T,W,F,T,S,11:10 AM - 12:35 PM,11,10,12,35,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 240,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/11/2025,End Date:,Boston,,FULL,Law Billing,NUpath Societies/Institutions,Cargill Hall Law Door Access,FULL: 0 of 76 seats remain.,,
Constitutional Law,Lecture,Law,6101,03,4,70003,"Tuesday,Thursday",S,T,M,T,W,F,S,11:10 AM - 12:25 PM,11,10,12,25,Building: Dockser Hall,Room: 220,Start Date: 01/06/2025,End Date: 04/11/2025,Wednesday,S,M,T,T,W,F,S,11:10 AM - 12:25 PM,11,10,12,25,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 240,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/11/2025,End Date:,Boston,2 of 76 seats remain.,2,Law Billing,NUpath Societies/Institutions,Cargill Hall Law Door Access,,,
Contracts,Lecture,Law,6102,01,5,70004,"Monday,Wednesday",S,M,T,W,T,F,S,02:20 PM - 04:50 PM,02,20,04,50,Building: Dockser Hall,Room: 220,Start Date: 01/06/2025,End Date: 04/11/2025,,,,,,,,,,,,,,,,,,,,,,,,Boston,2 of 76 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
Contracts,Lecture,Law,6102,02,5,70005,"Monday,Wednesday",S,M,T,W,T,F,S,02:20 PM - 04:50 PM,02,20,04,50,Building: Dockser Hall,Room: 240,Start Date: 01/06/2025,End Date: 04/11/2025,,,,,,,,,,,,,,,,,,,,,,,,Boston,,FULL,Law Billing,Cargill Hall Law Door Access,,FULL: 0 of 76 seats remain.,,
Contracts,Lecture,Law,6102,03,5,70006,Wednesday,S,W,M,F,T,T,F,08:20 AM - 10:50 AM,08,20,10,50,Building: Dockser Hall,Room: 220,Start Date: 01/06/2025,End Date: 04/11/2025,Friday,S,S,M,T,S,W,T,08:20 AM - 10:50 AM,08,20,10,50,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 240,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/11/2025,End Date:,Boston,2 of 76 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
Criminal Justice,Lecture,Law,6103,01,4,70007,Thursday,S,T,M,T,T,W,F,10:00 AM - 11:15 AM,10,00,11,15,Building: Dockser Hall,Room: 250,Start Date: 01/06/2025,End Date: 04/11/2025,"Tuesday,Friday",S,S,M,W,T,S,F,11:10 AM - 12:25 PM,11,10,12,25,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 250,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/11/2025,End Date:,Boston,2 of 76 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
Criminal Justice,Lecture,Law,6103,02,4,70008,"Monday,Wednesday",S,M,T,W,T,F,S,09:35 AM - 10:50 AM,09,35,10,50,Building: Dockser Hall,Room: 250,Start Date: 01/06/2025,End Date: 04/11/2025,Tuesday,S,M,W,T,T,F,S,02:50 PM - 04:05 PM,02,50,04,05,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 220,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/11/2025,End Date:,Boston,,FULL,Law Billing,Cargill Hall Law Door Access,,FULL: 0 of 76 seats remain.,,
Criminal Justice,Lecture,Law,6103,03,4,70009,Monday,S,M,T,T,W,T,F,11:10 AM - 12:25 PM,11,10,12,25,Building: Dockser Hall,Room: 240,Start Date: 01/06/2025,End Date: 04/11/2025,"Tuesday,Thursday",S,S,M,W,T,F,S,01:15 PM - 02:30 PM,01,15,02,30,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 240,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/11/2025,End Date:,Boston,2 of 76 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
Criminal Justice,Lecture,Law,6103,05,4,70131,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,1 of 41 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
