section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,meeting (2),meeting (3),meeting (4),meeting (5),tooltip-row,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),readonly (7),status-full,status-bold,readonly (8),readonly (10),status-bold (2),status-waitlist,ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),readonly (11),readonly (12),readonly (13),readonly (14),readonly (15),ui-pillbox-summary (4),ui-state-default (22),ui-state-default (23),ui-state-default (24),ui-state-default (25),ui-state-default (26),ui-state-default (27),ui-state-default (28),meeting (16),meeting (17),meeting (18),meeting (19),meeting (20),tooltip-row (31),tooltip-row (32),tooltip-row (33),tooltip-row (34),tooltip-row (35),tooltip-row (36),tooltip-row (37),tooltip-row (38),tooltip-row (39),tooltip-row (40),readonly (16),readonly (17),ui-pillbox-summary (5),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (32),ui-state-default (33),ui-state-default (34),ui-state-default (35),meeting (21),meeting (22),meeting (23),meeting (24),meeting (25),tooltip-row (41),tooltip-row (42),tooltip-row (43),tooltip-row (44),tooltip-row (45),tooltip-row (46),tooltip-row (47),tooltip-row (48),tooltip-row (49),tooltip-row (50),tooltip-row (57),tooltip-row (59)
Financial Accounting and Reporting,Lecture,Accounting,1201,01,4,30426,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,10:30 AM - 11:35 AM,10,30,11,35,Type: Class,Building: Dodge Hall,Room: 470,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Snell Engineering Center,Building:,Room: 168,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,FULL: 0 of 40 seats remain.,FULL,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1201,02,4,30397,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,10:30 AM - 11:35 AM,10,30,11,35,Type: Class,Building: Richards Hall,Room: 227,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Hurtig Hall,Building:,Room: 129,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,FULL: 0 of 40 seats remain.,FULL,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fin Accountg&Reportg,Lecture,Accounting,1201,03,4,30396,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,09:15 AM - 10:20 AM,09,15,10,20,Type: Class,Building: Richards Hall,Room: 231,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Hurtig Hall,Building:,Room: 129,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,FULL: 0 of 40 seats remain.,FULL,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fin Acctng & Reporting,Lecture,Accounting,1201,04,4,30395,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,08:00 AM - 09:05 AM,08,00,09,05,Type: Class,Building: Snell Library,Room: 005,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Snell Engineering Center,Building:,Room: 168,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,,3,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fin Acctng & Reporting,Lecture,Accounting,1201,05,4,30394,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,09:15 AM - 10:20 AM,09,15,10,20,Type: Class,Building: Dodge Hall,Room: 130,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Cargill Hall,Building:,Room: 097,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,FULL: 0 of 40 seats remain.,FULL,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1201,06,4,30393,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,01:35 PM - 02:40 PM,01,35,02,40,Type: Class,Building: Dodge Hall,Room: 370,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Cargill Hall,Building:,Room: 097,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,FULL: 0 of 40 seats remain.,FULL,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1201,07,4,30392,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,01:35 PM - 02:40 PM,01,35,02,40,Type: Class,Building: Behrakis Health Sciences Cntr,Room: 030,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Snell Engineering Center,Building:,Room: 168,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,,1,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1201,08,4,30074,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,01:35 PM - 02:40 PM,01,35,02,40,Type: Class,Building: Snell Library,Room: 033,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Richards Hall,Building:,Room: 458,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,FULL: 0 of 40 seats remain.,FULL,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1201,09,4,30012,Thursday,S,T,M,M,W,T,W,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Building: Richards Hall,Room: 458,Start Date: 04/24/2025,End Date: 04/24/2025,"Monday,Wednesday,Thursday",F,S,S,T,T,F,S,04:35 PM - 05:40 PM,04,35,05,40,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 470,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/15/2025,End Date:,Boston,FULL: 0 of 40 seats remain.,FULL,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1201,10,4,30039,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,08:00 AM - 09:05 AM,08,00,09,05,Type: Class,Building: Dodge Hall,Room: 070,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Ryder Hall,Building:,Room: 204,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,,26,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
