section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default (2),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,meeting (2),meeting (3),meeting (4),meeting (5),tooltip-row,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),readonly (8),status-bold,readonly (9),status-full,readonly (10),readonly (11),status-bold (2),status-waitlist,readonly (12),readonly (13),status-bold (3),readonly (14),readonly (15),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-state-default (18),ui-state-default (25)
Financial Accounting and Reporting,Lecture,Accounting,1201,01,4,40024,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,11:40 AM - 01:20 PM,11,40,01,20,Type: Class,Building: Dodge Hall,Room: 330,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,1 of 40 seats remain.,1,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1201,02,4,40023,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Dodge Hall,Room: 070,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,26 of 40 seats remain.,26,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1201,03,4,41558,None,W,F,S,M,T,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Accelerate Program Course,FULL: 0 of 44 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1209,01,4,40123,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,Business Admin,FULL: 0 of 15 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1209,02,4,40124,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,Business Admin,FULL: 0 of 15 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1209,03,4,40125,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,Business Admin,FULL: 0 of 15 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1209,04,4,40126,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,Business Admin,FULL: 0 of 15 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1209,05,4,40861,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,Business Admin,FULL: 0 of 15 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1209,06,4,40877,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,Business Admin,FULL: 0 of 15 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Analysis for Managers and Advisors,Lecture,Accounting,2301,01,4,40022,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,03:20 PM - 05:00 PM,03,20,05,00,Type: Class,Building: Dodge Hall,Room: 330,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NUpath Natural/Designed World,FULL: 0 of 40 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
