section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (10),readonly (11),readonly (12),status-full,status-waitlist
Financial Accounting,Lecture,Accounting - CPS,2100,01,3,20102,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"10 of 30 seats remain.
10 of 10 waitlist seats remain.",10,10,CPS-Programs-UG,,,,,,,,,
Financial Accounting,Lecture,Accounting - CPS,2100,02,3,20309,Thursday,S,M,T,W,F,S,T,01:30 PM - 04:00 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 233,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,CPS-Programs-UG,01,30,04,00,,,,,
Managerial Accounting,Lecture,Accounting - CPS,2200,01,3,20001,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"14 of 30 seats remain.
10 of 10 waitlist seats remain.",14,10,CPS-Programs-UG,,,,,,,,,
Cost Accounting,Lecture,Accounting - CPS,2300,01,3,20334,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"28 of 30 seats remain.
10 of 10 waitlist seats remain.",28,10,CPS-Programs-UG,,,,,,,,,
Financial Reporting and Analysis 1,Lecture,Accounting - CPS,3201,01,3,20117,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"22 of 30 seats remain.
10 of 10 waitlist seats remain.",22,10,CPS-Programs-UG,,,,,,,,,
Financial Reporting and Analysis 2,Lecture,Accounting - CPS,3202,01,3,20058,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"16 of 30 seats remain.
10 of 10 waitlist seats remain.",16,10,CPS-Programs-UG,,,,,,,,,
Principles of Auditing,Lecture,Accounting - CPS,3330,01,3,20176,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"18 of 30 seats remain.
10 of 10 waitlist seats remain.",18,10,CPS-Programs-UG,,,,,,,,,
Principles of Auditing,Lecture,Accounting - CPS,3330,02,3,20339,"Tuesday,Thursday",S,M,W,F,S,T,T,01:35 PM - 02:50 PM,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 215,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"23 of 24 seats remain.
10 of 10 waitlist seats remain.",23,10,CPS-Programs-UG,01,35,02,50,,,,,
Principles of Taxation,Lecture,Accounting - CPS,3410,01,3,20086,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"26 of 30 seats remain.
10 of 10 waitlist seats remain.",26,10,CPS-Programs-UG,,,,,,,,,
Financial Statement Analysis,Lecture,Accounting - CPS,4320,01,3,20002,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"20 of 30 seats remain.
10 of 10 waitlist seats remain.",20,10,NUpath Writing Intensive,,,,,CPS-Programs-UG,,,,
Financial Statement Analysis,Lecture,Accounting - CPS,4320,02,3,20344,Monday,S,T,W,T,F,M,S,09:50 AM - 12:20 PM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 425,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"29 of 30 seats remain.
10 of 10 waitlist seats remain.",29,10,NUpath Writing Intensive,09,50,12,20,CPS-Programs-UG,,,,
Composite Materials and Applications,Lecture,Adv Manufacturing System - CPS,2200,01,3,20294,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,Lowell Institute School,,,,,,,,,
