section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,readonly (9),readonly (10),meeting (2),meeting (3),meeting (4),meeting (5),status-bold (2),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),readonly (11),readonly (12)
Contracts,Lecture,Law,6102,01,5,20075,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,41 of 41 seats remain.,41,Law Billing,Cargill Hall Law Door Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property,Lecture,Law,6105,01,4,20048,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,41 of 41 seats remain.,41,Law Billing,Cargill Hall Law Door Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contracts,Lecture,Law,6401,01,3,20076,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,25 of 25 seats remain.,25,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torts,Lecture,Law,6402,01,3,20077,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,25 of 25 seats remain.,25,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civil Procedure,Lecture,Law,6404,01,3,20078,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,25 of 25 seats remain.,25,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criminal Law,Lecture,Law,6406,01,3,20070,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,25 of 25 seats remain.,25,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Sales and Commercial Arbitration,Lecture,Law,7003,01,3,20095,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,25 of 25 seats remain.,25,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern Privacy Challenges,Lecture,Law,7014,01,3,20085,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,20 of 20 seats remain.,20,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrative Law,Lecture,Law,7300,01,3,20112,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,40 of 40 seats remain.,40,Law Billing,Cargill Hall Law Door Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Criminal Procedure: Adjudication,Lecture,Law,7301,01,3,20113,Monday,S,T,W,T,F,S,M,02:20 PM - 05:20 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 230,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,48 of 48 seats remain.,48,Law Billing,Cargill Hall Law Door Access,02,20,05,20,,,,,,,,,,,,,,,,,,,,,,,,,,
