section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),status-full,status-bold,readonly (8),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (11),status-waitlist,status-bold (2),readonly (12),readonly (13),readonly (14),readonly (15),status-bold (3),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20)
Financial Accounting and Reporting,Lecture,Accounting,1201,01,4,60568,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 44 seats remain.,FULL,NU Accelerate Program Course,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1201,02,4,61501,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 40 seats remain.,FULL,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Analysis for Managers and Advisors,Lecture,Accounting,2301,01,4,60026,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Snell Library,Building:,Room: 039,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,1,NUpath Natural/Designed World,Business Admin,09,50,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Analysis for Managers and Advisors,Lecture,Accounting,2301,02,4,60025,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,08:00 AM - 09:40 AM,Type: Class,Type:,Building: Snell Library,Building:,Room: 005,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,1,NUpath Natural/Designed World,Business Admin,08,00,09,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Analysis for Managers and Advisors,Lecture,Accounting,2301,03,4,60503,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 40 seats remain.,FULL,NUpath Natural/Designed World,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Analysis for Managers and Advisors,Lecture,Accounting,2301,04,4,61268,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 44 seats remain.,FULL,NUpath Natural/Designed World,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Tax Determination and Planning,Lecture,Accounting,4414,01,4,60937,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 270,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,23,Business Admin,,09,50,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal Auditing,Lecture,Accounting,5256,01,3,60597,"Tuesday,Thursday",S,M,W,T,T,F,S,06:00 PM - 08:00 PM,Type: Class,Type:,Building: Knowles Center,Building:,Room: 002B,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,33,GSBA Elective for MSA,,06,00,08,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auditing in a Big Data Environment,Lecture,Accounting,6205,01,3,60097,"Tuesday,Thursday",S,M,W,T,T,F,S,09:50 AM - 11:50 AM,Type: Class,Type:,Building: Snell Library,Building:,Room: 005,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,33,GSBA Business Administration,,09,50,11,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Financial Reporting and Decision Making 2,Lecture,Accounting,6221,02,6,60624,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 02:10 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 119,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,54,GSBA Professional Accounting,,11,40,02,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
