section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),status-full,status-bold,readonly (8),readonly (9),readonly (11),meeting (2),meeting (3),meeting (4),meeting (5),status-waitlist,status-bold (2),readonly (12),readonly (13),status-bold (3),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20)
Master’s Project,Individual Instruction,Bioengineering,7945,01,4,53498,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,GSEN Engineering,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directed Study,Individual Instruction,Bioengineering,7976,01,4,53398,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,1,GSEN Engineering,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thesis Continuation - Half-Time,Individual Instruction,Bioengineering,7996,01,0,53464,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,1,GSEN Engineering,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,01,0,52791,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,1,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,02,0,50275,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,03,0,51643,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,1,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,05,0,50428,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,07,0,50448,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,08,0,50441,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",FULL: 0 of 3 seats remain.,FULL,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,09,0,50449,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,11,0,50474,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,6,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,12,0,50477,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,4,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,13,0,50480,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,14,0,50500,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,15,0,50506,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,10,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,18,0,50772,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,4,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,19,0,50894,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,4,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,21,0,50742,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,1,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,22,0,50734,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,24,0,50780,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,26,0,50781,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,28,0,50782,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,29,0,50783,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,4,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,30,0,50784,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,33,0,50785,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
